NHEK|chr10:121200600-121200800	NHEK|chr10:121201000-121201600
NHEK|chr10:15125800-15126000	NHEK|chr10:15127000-15127400
NHEK|chr10:15127000-15127400	NHEK|chr10:15130200-15130400
NHEK|chr10:23354400-23355000	NHEK|chr10:23355000-23355200
NHEK|chr10:49572200-49572600	NHEK|chr10:49573600-49574000
NHEK|chr10:64374200-64374400	NHEK|chr10:64374400-64374800
NHEK|chr10:64386200-64386600	NHEK|chr10:64386600-64387000
NHEK|chr10:64398000-64398200	NHEK|chr10:64398200-64398400
NHEK|chr10:70302000-70303000	NHEK|chr10:70303000-70303400
NHEK|chr10:94839800-94840000	NHEK|chr10:94840200-94840400
NHEK|chr1:109798200-109798600	NHEK|chr1:109798600-109799600
NHEK|chr1:109798200-109798600	NHEK|chr1:109799600-109799800
NHEK|chr1:109798200-109798600	NHEK|chr1:109799800-109800400
NHEK|chr1:109798200-109798600	NHEK|chr1:109800400-109800600
NHEK|chr1:109798600-109799600	NHEK|chr1:109799600-109799800
NHEK|chr1:109798600-109799600	NHEK|chr1:109799800-109800400
NHEK|chr1:109798600-109799600	NHEK|chr1:109800400-109800600
NHEK|chr1:109799600-109799800	NHEK|chr1:109799800-109800400
NHEK|chr1:109799600-109799800	NHEK|chr1:109800400-109800600
NHEK|chr1:109799800-109800400	NHEK|chr1:109800400-109800600
NHEK|chr1:109805400-109805600	NHEK|chr1:109806400-109806800
NHEK|chr1:109805400-109805600	NHEK|chr1:109806800-109807000
NHEK|chr1:109806400-109806800	NHEK|chr1:109806800-109807000
NHEK|chr1:109806400-109806800	NHEK|chr1:109809800-109810000
NHEK|chr1:109806800-109807000	NHEK|chr1:109809800-109810000
NHEK|chr11:100701000-100701200	NHEK|chr11:100701200-100701600
NHEK|chr11:100701000-100701200	NHEK|chr11:100701600-100702200
NHEK|chr11:100701000-100701200	NHEK|chr11:100702200-100703000
NHEK|chr11:100701000-100701200	NHEK|chr11:100704200-100704600
NHEK|chr11:100701200-100701600	NHEK|chr11:100701600-100702200
NHEK|chr11:100701200-100701600	NHEK|chr11:100702200-100703000
NHEK|chr11:100701200-100701600	NHEK|chr11:100704200-100704600
NHEK|chr11:100701600-100702200	NHEK|chr11:100702200-100703000
NHEK|chr11:100701600-100702200	NHEK|chr11:100704200-100704600
NHEK|chr11:100702200-100703000	NHEK|chr11:100704200-100704600
NHEK|chr11:100721600-100721800	NHEK|chr11:100721800-100722000
NHEK|chr11:100721600-100721800	NHEK|chr11:100722200-100722400
NHEK|chr11:100721600-100721800	NHEK|chr11:100722400-100722800
NHEK|chr11:100721800-100722000	NHEK|chr11:100722200-100722400
NHEK|chr11:100721800-100722000	NHEK|chr11:100722400-100722800
NHEK|chr11:100722200-100722400	NHEK|chr11:100722400-100722800
NHEK|chr1:110178600-110178800	NHEK|chr1:110178800-110179600
NHEK|chr1:110197800-110198000	NHEK|chr1:110198000-110198200
NHEK|chr1:110197800-110198000	NHEK|chr1:110199200-110199600
NHEK|chr1:110198000-110198200	NHEK|chr1:110199200-110199600
NHEK|chr1:110325200-110325400	NHEK|chr1:110325600-110326200
NHEK|chr1:110325200-110325400	NHEK|chr1:110326200-110326600
NHEK|chr1:110325200-110325400	NHEK|chr1:110326600-110327000
NHEK|chr1:110325600-110326200	NHEK|chr1:110326200-110326600
NHEK|chr1:110325600-110326200	NHEK|chr1:110326600-110327000
NHEK|chr1:110326200-110326600	NHEK|chr1:110326600-110327000
NHEK|chr1:110326200-110326600	NHEK|chr1:110329600-110330000
NHEK|chr1:110326200-110326600	NHEK|chr1:110330000-110330200
NHEK|chr1:110326600-110327000	NHEK|chr1:110329600-110330000
NHEK|chr1:110326600-110327000	NHEK|chr1:110330000-110330200
NHEK|chr1:110326600-110327000	NHEK|chr1:110330400-110330600
NHEK|chr1:110329600-110330000	NHEK|chr1:110330000-110330200
NHEK|chr1:110329600-110330000	NHEK|chr1:110330400-110330600
NHEK|chr1:110329600-110330000	NHEK|chr1:110331800-110332200
NHEK|chr1:110330000-110330200	NHEK|chr1:110330400-110330600
NHEK|chr1:110330000-110330200	NHEK|chr1:110331800-110332200
NHEK|chr1:110330400-110330600	NHEK|chr1:110331800-110332200
NHEK|chr11:10427600-10427800	NHEK|chr11:10427800-10428000
NHEK|chr11:10427600-10427800	NHEK|chr11:10428000-10429000
NHEK|chr11:10427600-10427800	NHEK|chr11:10429000-10429200
NHEK|chr11:10427600-10427800	NHEK|chr11:10429600-10429800
NHEK|chr11:10427800-10428000	NHEK|chr11:10428000-10429000
NHEK|chr11:10427800-10428000	NHEK|chr11:10429000-10429200
NHEK|chr11:10427800-10428000	NHEK|chr11:10429600-10429800
NHEK|chr11:10428000-10429000	NHEK|chr11:10429000-10429200
NHEK|chr11:10428000-10429000	NHEK|chr11:10429600-10429800
NHEK|chr11:10429000-10429200	NHEK|chr11:10429600-10429800
NHEK|chr11:10435400-10436200	NHEK|chr11:10436200-10436600
NHEK|chr11:10435400-10436200	NHEK|chr11:10436600-10437200
NHEK|chr11:10435400-10436200	NHEK|chr11:10437400-10437600
NHEK|chr11:10436200-10436600	NHEK|chr11:10436600-10437200
NHEK|chr11:10436200-10436600	NHEK|chr11:10437400-10437600
