HUVEC|chr10:129807600-129808843	HUVEC|chr10:129809146-129809717
HUVEC|chr10:129809146-129809717	HUVEC|chr10:129809958-129810000
HUVEC|chr10:22016000-22016954	HUVEC|chr10:22017152-22017244
HUVEC|chr10:22608800-22610192	HUVEC|chr10:22610600-22610732
HUVEC|chr10:22608800-22610192	HUVEC|chr10:22610890-22611800
HUVEC|chr10:22610600-22610732	HUVEC|chr10:22610890-22611800
HUVEC|chr10:22613800-22614600	HUVEC|chr10:22615000-22615423
HUVEC|chr10:22623200-22625000	HUVEC|chr10:22625400-22625800
HUVEC|chr10:30138162-30139569	HUVEC|chr10:30139805-30140592
HUVEC|chr10:49757816-49759284	HUVEC|chr10:49759480-49759945
HUVEC|chr10:49757816-49759284	HUVEC|chr10:49760037-49760989
HUVEC|chr10:49759480-49759945	HUVEC|chr10:49760037-49760989
HUVEC|chr10:54246321-54247575	HUVEC|chr10:54248364-54248757
HUVEC|chr10:54248364-54248757	HUVEC|chr10:54248932-54249137
HUVEC|chr10:54248932-54249137	HUVEC|chr10:54250596-54250735
HUVEC|chr10:54250596-54250735	HUVEC|chr10:54250829-54251041
HUVEC|chr10:54250596-54250735	HUVEC|chr10:54251204-54251537
HUVEC|chr10:54250829-54251041	HUVEC|chr10:54251204-54251537
HUVEC|chr10:54326474-54326800	HUVEC|chr10:54326800-54326807
HUVEC|chr10:95136275-95138223	HUVEC|chr10:95138593-95140200
HUVEC|chr1:101759121-101759217	HUVEC|chr1:101759352-101759634
HUVEC|chr11:10344102-10344737	HUVEC|chr11:10344868-10345112
HUVEC|chr11:10427862-10428042	HUVEC|chr11:10428265-10429066
HUVEC|chr1:110521460-110523200	HUVEC|chr1:110523200-110523410
HUVEC|chr1:110545994-110547000	HUVEC|chr1:110547400-110547501
HUVEC|chr11:119192600-119192782	HUVEC|chr11:119192888-119193584
HUVEC|chr11:124624200-124625223	HUVEC|chr11:124625412-124625600
HUVEC|chr11:36094575-36095659	HUVEC|chr11:36095772-36097437
HUVEC|chr11:47376633-47376789	HUVEC|chr11:47377400-47377446
HUVEC|chr1:154856770-154857256	HUVEC|chr1:154857348-154858000
HUVEC|chr1:155056821-155057200	HUVEC|chr1:155058400-155058565
HUVEC|chr11:57416800-57417322	HUVEC|chr11:57417450-57417800
HUVEC|chr11:59553593-59553685	HUVEC|chr11:59553872-59555800
HUVEC|chr11:60543065-60543795	HUVEC|chr11:60543978-60544149
HUVEC|chr11:60543065-60543795	HUVEC|chr11:60544333-60545655
