HUVEC|chr10:129706517-129809145	HUVEC|chr10:129706517-129809957
HUVEC|chr10:21823419-22015999	HUVEC|chr10:21823419-22017151
HUVEC|chr10:22292870-22608799	HUVEC|chr10:22292870-22610599
HUVEC|chr10:22292870-22608799	HUVEC|chr10:22292870-22610889
HUVEC|chr10:22292870-22610599	HUVEC|chr10:22292870-22610889
HUVEC|chr10:22292870-22610599	HUVEC|chr10:22292870-22613799
HUVEC|chr10:22292870-22610889	HUVEC|chr10:22292870-22613799
HUVEC|chr10:22292870-22613799	HUVEC|chr10:22292870-22614999
HUVEC|chr10:35417241-35863339	HUVEC|chr10:35417241-35866566
HUVEC|chr10:3829001-4720599	HUVEC|chr10:3829665-4719442
HUVEC|chr10:49759285-49863376	HUVEC|chr10:49759946-49863376
HUVEC|chr10:49864585-50742334	HUVEC|chr10:49864585-50748199
HUVEC|chr10:54075801-54248363	HUVEC|chr10:54075801-54248931
HUVEC|chr10:54075801-54326473	HUVEC|chr10:54075801-54326799
HUVEC|chr1:101704601-101759120	HUVEC|chr1:101704601-101759351
HUVEC|chr1:110091982-110545993	HUVEC|chr1:110091982-110547399
HUVEC|chr1:110198934-110545993	HUVEC|chr1:110198934-110547399
HUVEC|chr11:10428043-10772055	HUVEC|chr11:10429067-10772055
HUVEC|chr11:118956317-119190399	HUVEC|chr11:118956317-119192599
HUVEC|chr11:118956317-119192599	HUVEC|chr11:118956317-119192887
HUVEC|chr11:118966689-119190399	HUVEC|chr11:118966689-119192599
HUVEC|chr11:118966689-119192599	HUVEC|chr11:118966689-119192887
HUVEC|chr11:118973998-119192599	HUVEC|chr11:118973998-119192887
HUVEC|chr11:124544273-124627399	HUVEC|chr11:124544621-124628199
HUVEC|chr11:35642211-36094574	HUVEC|chr11:35642211-36095771
HUVEC|chr11:47199383-47376632	HUVEC|chr11:47199383-47377399
HUVEC|chr1:154532201-154856769	HUVEC|chr1:154532201-154857347
HUVEC|chr11:57103699-57416799	HUVEC|chr11:57103699-57417449
HUVEC|chr11:59437453-59553592	HUVEC|chr11:59437453-59553871
HUVEC|chr11:60543796-60672556	HUVEC|chr11:60544150-60672556
HUVEC|chr1:163041624-163290948	HUVEC|chr1:163043138-163290948
HUVEC|chr1:16400648-16677828	HUVEC|chr1:16402851-16677828
HUVEC|chr11:68873518-69489236	HUVEC|chr11:68874095-69489236
HUVEC|chr11:69515456-70049058	HUVEC|chr11:69515801-70049058
HUVEC|chr11:72526492-72878479	HUVEC|chr11:72526492-72879199
HUVEC|chr11:72526492-72895839	HUVEC|chr11:72526492-72897599
HUVEC|chr11:72526492-72895839	HUVEC|chr11:72526492-72897799
HUVEC|chr11:72526492-72897599	HUVEC|chr11:72526492-72897799
HUVEC|chr11:82612982-82968799	HUVEC|chr11:82612982-82969454
HUVEC|chr11:9777945-10326009	HUVEC|chr11:9781201-10329999
HUVEC|chr11:9777945-10326009	HUVEC|chr11:9782001-10326009
HUVEC|chr11:9777945-10326009	HUVEC|chr11:9782147-10326009
HUVEC|chr11:9781201-10329999	HUVEC|chr11:9782001-10326009
HUVEC|chr11:9781201-10329999	HUVEC|chr11:9782147-10326009
HUVEC|chr11:9781201-10344101	HUVEC|chr11:9781201-10344867
HUVEC|chr11:9781201-10344101	HUVEC|chr11:9781201-10346601
HUVEC|chr11:9781201-10344867	HUVEC|chr11:9781201-10346601
HUVEC|chr11:9782001-10326009	HUVEC|chr11:9782147-10326009
HUVEC|chr12:105815001-106531172	HUVEC|chr12:105815078-106531172
HUVEC|chr12:108957125-109195999	HUVEC|chr12:108957125-109197637
HUVEC|chr12:108957125-109195999	HUVEC|chr12:108957125-109197919
HUVEC|chr12:108957125-109197637	HUVEC|chr12:108957125-109197919
HUVEC|chr12:108957125-109531399	HUVEC|chr12:108960391-109535366
HUVEC|chr1:211500212-211848649	HUVEC|chr1:211501201-211848649
HUVEC|chr1:211688601-211848649	HUVEC|chr1:211689474-211848649
HUVEC|chr12:118620127-118813977	HUVEC|chr12:118622042-118813977
HUVEC|chr12:118626918-118810216	HUVEC|chr12:118627401-118810216
HUVEC|chr12:118626918-118813977	HUVEC|chr12:118627401-118813977
HUVEC|chr1:213935401-214453807	HUVEC|chr1:213935473-214453807
HUVEC|chr12:14538601-15113640	HUVEC|chr12:14544201-15113640
HUVEC|chr12:14544201-15113640	HUVEC|chr12:14547285-15113640
HUVEC|chr12:2987677-3141599	HUVEC|chr12:2987677-3143102
HUVEC|chr1:234634801-234741199	HUVEC|chr1:234634822-234741199
HUVEC|chr1:234634801-234741199	HUVEC|chr1:234635694-234741199
