K562|chr10:104800177-104801105	K562|chr10:104801197-104801569
K562|chr10:23353600-23353619	K562|chr10:23353738-23353860
K562|chr10:23353600-23353619	K562|chr10:23354295-23354800
K562|chr10:23353600-23353619	K562|chr10:23354800-23354818
K562|chr10:23353600-23353619	K562|chr10:23355588-23355680
K562|chr10:23353600-23353619	K562|chr10:23357000-23357154
K562|chr10:23353738-23353860	K562|chr10:23354295-23354800
K562|chr10:23353738-23353860	K562|chr10:23354800-23354818
K562|chr10:23353738-23353860	K562|chr10:23355588-23355680
K562|chr10:23353738-23353860	K562|chr10:23357000-23357154
K562|chr10:23354295-23354800	K562|chr10:23354800-23354818
K562|chr10:23354295-23354800	K562|chr10:23355588-23355680
K562|chr10:23354295-23354800	K562|chr10:23357000-23357154
K562|chr10:23354800-23354818	K562|chr10:23355588-23355680
K562|chr10:23354800-23354818	K562|chr10:23357000-23357154
K562|chr10:23355588-23355680	K562|chr10:23357000-23357154
K562|chr10:35507708-35507800	K562|chr10:35507800-35507821
K562|chr10:43135200-43135286	K562|chr10:43137036-43137307
K562|chr10:59938707-59938843	K562|chr10:59938945-59939489
K562|chr10:70477415-70477534	K562|chr10:70480167-70480200
K562|chr10:71169707-71170015	K562|chr10:71170473-71170655
K562|chr10:71169707-71170015	K562|chr10:71171250-71171595
K562|chr10:71169707-71170015	K562|chr10:71172137-71172312
K562|chr10:71170473-71170655	K562|chr10:71171250-71171595
K562|chr10:71170473-71170655	K562|chr10:71172137-71172312
K562|chr10:71171250-71171595	K562|chr10:71172137-71172312
K562|chr10:72318175-72318345	K562|chr10:72318437-72318600
K562|chr10:73341871-73342121	K562|chr10:73342239-73342875
K562|chr10:73649917-73650255	K562|chr10:73653253-73653545
K562|chr10:73649917-73650255	K562|chr10:73653645-73653800
K562|chr10:73653253-73653545	K562|chr10:73653645-73653800
K562|chr10:73653253-73653545	K562|chr10:73653993-73654087
K562|chr10:73653645-73653800	K562|chr10:73653993-73654087
K562|chr10:75997821-75998234	K562|chr10:76001088-76001675
K562|chr1:110074831-110074923	K562|chr1:110075023-110075620
K562|chr1:110165000-110165291	K562|chr1:110165577-110165959
K562|chr1:110179040-110179306	K562|chr1:110181951-110182048
K562|chr1:110181951-110182048	K562|chr1:110183155-110183294
K562|chr1:110181951-110182048	K562|chr1:110183388-110183516
K562|chr1:110183155-110183294	K562|chr1:110183388-110183516
K562|chr1:110183155-110183294	K562|chr1:110185838-110186001
K562|chr1:110183155-110183294	K562|chr1:110186154-110186400
K562|chr1:110183155-110183294	K562|chr1:110186400-110186461
K562|chr1:110183388-110183516	K562|chr1:110185838-110186001
K562|chr1:110183388-110183516	K562|chr1:110186154-110186400
K562|chr1:110183388-110183516	K562|chr1:110186400-110186461
K562|chr1:110185838-110186001	K562|chr1:110186154-110186400
K562|chr1:110185838-110186001	K562|chr1:110186400-110186461
K562|chr1:110185838-110186001	K562|chr1:110187454-110187712
K562|chr1:110186154-110186400	K562|chr1:110186400-110186461
K562|chr1:110186154-110186400	K562|chr1:110187454-110187712
K562|chr1:110186400-110186461	K562|chr1:110187454-110187712
K562|chr1:110316656-110316753	K562|chr1:110320200-110320359
K562|chr1:110521957-110522800	K562|chr1:110522800-110522817
K562|chr1:110521957-110522800	K562|chr1:110523171-110523348
K562|chr1:110522800-110522817	K562|chr1:110523171-110523348
K562|chr1:110523171-110523348	K562|chr1:110526503-110526600
K562|chr1:110545293-110545399	K562|chr1:110546200-110546400
K562|chr11:113596684-113596985	K562|chr11:113599417-113599938
K562|chr11:124537154-124537596	K562|chr11:124537751-124538220
K562|chr1:112933800-112934079	K562|chr1:112936600-112936800
K562|chr1:112933800-112934079	K562|chr1:112937000-112937332
K562|chr1:112936600-112936800	K562|chr1:112937000-112937332
K562|chr1:113004174-113004200	K562|chr1:113004200-113005800
K562|chr1:113004174-113004200	K562|chr1:113005800-113005905
K562|chr1:113004200-113005800	K562|chr1:113005800-113005905
K562|chr1:113004200-113005800	K562|chr1:113008499-113008730
K562|chr1:113005800-113005905	K562|chr1:113008499-113008730
K562|chr1:113005800-113005905	K562|chr1:113009145-113009301
K562|chr1:113008499-113008730	K562|chr1:113009145-113009301
K562|chr1:113044391-113044483	K562|chr1:113044657-113045067
K562|chr11:13125775-13127795	K562|chr11:13129905-13130173
K562|chr11:13125775-13127795	K562|chr11:13130265-13130365
K562|chr11:13129905-13130173	K562|chr11:13130265-13130365
K562|chr11:13129905-13130173	K562|chr11:13132505-13132795
K562|chr11:13130265-13130365	K562|chr11:13132505-13132795
K562|chr1:113240960-113242400	K562|chr1:113244200-113244800
K562|chr1:113250400-113250600	K562|chr1:113250600-113250808
K562|chr1:113250400-113250600	K562|chr1:113251102-113251356
K562|chr1:113250600-113250808	K562|chr1:113251102-113251356
K562|chr11:14674161-14674305	K562|chr11:14677066-14677480
K562|chr1:118214484-118214702	K562|chr1:118216118-118216248
K562|chr11:19993774-19993908	K562|chr11:19994799-19995000
K562|chr11:19993774-19993908	K562|chr11:19995000-19995208
K562|chr11:19993774-19993908	K562|chr11:19996403-19996923
K562|chr11:19993774-19993908	K562|chr11:19997073-19997497
K562|chr11:19994799-19995000	K562|chr11:19995000-19995208
K562|chr11:19994799-19995000	K562|chr11:19996403-19996923
K562|chr11:19994799-19995000	K562|chr11:19997073-19997497
K562|chr11:19994799-19995000	K562|chr11:19997741-19998297
K562|chr11:19995000-19995208	K562|chr11:19996403-19996923
K562|chr11:19995000-19995208	K562|chr11:19997073-19997497
K562|chr11:19995000-19995208	K562|chr11:19997741-19998297
K562|chr11:19996403-19996923	K562|chr11:19997073-19997497
K562|chr11:19996403-19996923	K562|chr11:19997741-19998297
K562|chr11:19996403-19996923	K562|chr11:19998901-19998993
K562|chr11:19997073-19997497	K562|chr11:19997741-19998297
K562|chr11:19997073-19997497	K562|chr11:19998901-19998993
K562|chr11:19997073-19997497	K562|chr11:20000193-20001190
K562|chr11:19997741-19998297	K562|chr11:19998901-19998993
K562|chr11:19997741-19998297	K562|chr11:20000193-20001190
K562|chr11:19997741-19998297	K562|chr11:20001381-20001473
K562|chr11:19997741-19998297	K562|chr11:20001581-20001673
K562|chr11:19998901-19998993	K562|chr11:20000193-20001190
K562|chr11:19998901-19998993	K562|chr11:20001381-20001473
K562|chr11:19998901-19998993	K562|chr11:20001581-20001673
K562|chr11:19998901-19998993	K562|chr11:20001835-20003295
K562|chr11:20000193-20001190	K562|chr11:20001381-20001473
K562|chr11:20000193-20001190	K562|chr11:20001581-20001673
K562|chr11:20000193-20001190	K562|chr11:20001835-20003295
K562|chr11:20001381-20001473	K562|chr11:20001581-20001673
K562|chr11:20001381-20001473	K562|chr11:20001835-20003295
K562|chr11:20001581-20001673	K562|chr11:20001835-20003295
K562|chr11:2019126-2019200	K562|chr11:2019200-2019600
K562|chr11:2019126-2019200	K562|chr11:2019600-2019616
K562|chr11:2019126-2019200	K562|chr11:2019868-2020156
K562|chr11:2019126-2019200	K562|chr11:2020588-2020773
K562|chr11:2019200-2019600	K562|chr11:2019600-2019616
K562|chr11:2019200-2019600	K562|chr11:2019868-2020156
K562|chr11:2019200-2019600	K562|chr11:2020588-2020773
K562|chr11:2019600-2019616	K562|chr11:2019868-2020156
K562|chr11:2019600-2019616	K562|chr11:2020588-2020773
K562|chr11:2019868-2020156	K562|chr11:2020588-2020773
K562|chr11:32470056-32470150	K562|chr11:32471567-32472760
K562|chr11:34195475-34195697	K562|chr11:34195797-34195890
K562|chr11:34379198-34379473	K562|chr11:34379621-34379922
K562|chr11:34379198-34379473	K562|chr11:34380162-34380356
K562|chr11:34379621-34379922	K562|chr11:34380162-34380356
K562|chr11:46330418-46330661	K562|chr11:46331174-46331800
K562|chr11:46330418-46330661	K562|chr11:46331800-46331833
K562|chr11:46331174-46331800	K562|chr11:46331800-46331833
K562|chr11:47377145-47377200	K562|chr11:47377200-47377400
K562|chr1:150228000-150228470	K562|chr1:150230125-150230338
K562|chr1:150230125-150230338	K562|chr1:150232250-150232394
K562|chr1:150230125-150230338	K562|chr1:150232400-150233146
K562|chr1:150232250-150232394	K562|chr1:150232400-150233146
K562|chr1:150244482-150244578	K562|chr1:150244943-150245222
K562|chr1:150244482-150244578	K562|chr1:150246898-150247077
K562|chr1:150244943-150245222	K562|chr1:150246898-150247077
K562|chr1:150539800-150541416	K562|chr1:150541613-150541794
K562|chr1:150584000-150584400	K562|chr1:150585520-150586977
K562|chr1:150584000-150584400	K562|chr1:150587487-150588600
K562|chr1:150585520-150586977	K562|chr1:150587487-150588600
K562|chr1:150950860-150951201	K562|chr1:150951413-150951600
K562|chr1:150950860-150951201	K562|chr1:150952400-150952573
K562|chr1:150950860-150951201	K562|chr1:150954452-150954600
K562|chr1:150951413-150951600	K562|chr1:150952400-150952573
K562|chr1:150951413-150951600	K562|chr1:150954452-150954600
K562|chr1:150952400-150952573	K562|chr1:150954452-150954600
K562|chr1:150966527-150967000	K562|chr1:150967000-150967292
K562|chr1:150971398-150972456	K562|chr1:150973574-150974517
K562|chr1:150973574-150974517	K562|chr1:150976891-150977014
K562|chr1:153498285-153498419	K562|chr1:153498538-153498796
K562|chr1:153498285-153498419	K562|chr1:153498800-153499108
K562|chr1:153498285-153498419	K562|chr1:153499208-153499536
K562|chr1:153498538-153498796	K562|chr1:153498800-153499108
K562|chr1:153498538-153498796	K562|chr1:153499208-153499536
K562|chr1:153498800-153499108	K562|chr1:153499208-153499536
K562|chr1:153777850-153778000	K562|chr1:153778000-153778143
K562|chr1:153955073-153955200	K562|chr1:153955200-153955320
K562|chr1:153959600-153959755	K562|chr1:153962538-153962600
K562|chr1:154297000-154297067	K562|chr1:154297159-154297400
K562|chr1:155063655-155063977	K562|chr1:155064230-155064400
K562|chr1:155063655-155063977	K562|chr1:155064400-155064456
