Pair	K562_Ctcf_E	K562_Dnase1_E	K562_H3k27ac_E	K562_H3k27me3_E	K562_H3k36me3_E	K562_H3k4me2_E	K562_H3k9ac_E	K562_H4k20me1_E	K562_Rad21_E	K562_Tbp_E	K562_Ctcf_P	K562_Dnase1_P	K562_H3k27ac_P	K562_H3k27me3_P	K562_H3k36me3_P	K562_H3k4me2_P	K562_H3k9ac_P	K562_H4k20me1_P	K562_Rad21_P	K562_Tbp_P	K562_Correlation	K562_Exp	Class
chr11_116519316_116519437-chr11_116689767_116707939	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0.00262511	0.000873	0
chr11_116580515_116582219-chr11_116737744_116757175	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.216522	0.098966	0
chr11_116591546_116598510-chr11_116707939_116710822	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.111111	0.000873	0
chr11_116617499_116620420-chr11_116734834_116737615	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.098966	0
chr11_116620420_116622059-chr11_116707939_116710822	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.111111	0.000873	0
chr11_116626608_116633036-chr11_116737744_116757175	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.398528	0.098966	0
chr11_116677882_116681042-chr11_116737744_116757175	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.216522	0.098966	0
chr11_116721973_116726985-chr11_116826662_116828140	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.098966	0
chr11_116801557_116806075-chr11_116640802_116647668	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0.283365	0.402858	0
chr11_116829740_116830954-chr11_116707939_116710822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4.34565e-17	0.000873	0
chr11_116844131_116848494-chr11_116657531_116663531	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	-0.489134	0.960806	0
chr11_116860770_116869626-chr11_116707939_116710822	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0.111111	0.000873	0
chr11_116869626_116870890-chr11_116737744_116757175	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0.216522	0.098966	0
chr11_116870890_116872908-chr11_116689767_116707939	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	-0.382281	0.000873	0
chr11_116870890_116872908-chr11_116734834_116737615	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.098966	0
chr11_116914344_116923482-chr11_116653885_116657531	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1.74772e-16	0.960806	0
