GM12878|chr10:101469347-101470000	GM12878|chr10:101470000-101470121
GM12878|chr10:103767218-103767381	GM12878|chr10:103767643-103767885
GM12878|chr10:104829082-104829200	GM12878|chr10:104829200-104829417
GM12878|chr10:104999938-105000147	GM12878|chr10:105000200-105000595
GM12878|chr10:11721775-11722169	GM12878|chr10:11722269-11722361
GM12878|chr10:11722269-11722361	GM12878|chr10:11722691-11722921
GM12878|chr10:11722691-11722921	GM12878|chr10:11723156-11723200
GM12878|chr10:134383915-134384400	GM12878|chr10:134384400-134385000
GM12878|chr10:135071543-135071831	GM12878|chr10:135071982-135072179
GM12878|chr10:135071982-135072179	GM12878|chr10:135072362-135072482
GM12878|chr10:135072362-135072482	GM12878|chr10:135072574-135073127
GM12878|chr10:64004200-64004385	GM12878|chr10:64004477-64004833
GM12878|chr10:70087782-70087800	GM12878|chr10:70087800-70088400
GM12878|chr10:70087800-70088400	GM12878|chr10:70088400-70088536
GM12878|chr10:73458019-73458236	GM12878|chr10:73458470-73458600
GM12878|chr10:73458019-73458236	GM12878|chr10:73458600-73458800
GM12878|chr10:73458470-73458600	GM12878|chr10:73458600-73458800
GM12878|chr10:73458470-73458600	GM12878|chr10:73458800-73458980
GM12878|chr10:73458600-73458800	GM12878|chr10:73458800-73458980
GM12878|chr10:73647617-73647800	GM12878|chr10:73647800-73648400
GM12878|chr10:89875324-89875400	GM12878|chr10:89875400-89875724
GM12878|chr10:89875400-89875724	GM12878|chr10:89875955-89876055
GM12878|chr10:89875955-89876055	GM12878|chr10:89876147-89876200
GM12878|chr1:100273927-100274288	GM12878|chr1:100274497-100274800
GM12878|chr1:100274497-100274800	GM12878|chr1:100274800-100274848
GM12878|chr11:109815946-109816000	GM12878|chr11:109816000-109816600
GM12878|chr11:116797857-116798010	GM12878|chr11:116798167-116798259
GM12878|chr11:116798167-116798259	GM12878|chr11:116798582-116798600
GM12878|chr11:116798167-116798259	GM12878|chr11:116798600-116798726
GM12878|chr11:116798582-116798600	GM12878|chr11:116798600-116798726
GM12878|chr11:116798832-116799400	GM12878|chr11:116799411-116799800
GM12878|chr1:111766944-111767159	GM12878|chr1:111767279-111767560
GM12878|chr1:111769938-111770400	GM12878|chr1:111770400-111770677
GM12878|chr1:111770400-111770677	GM12878|chr1:111770948-111771000
GM12878|chr1:111770948-111771000	GM12878|chr1:111771000-111771641
GM12878|chr11:124633390-124633400	GM12878|chr11:124633400-124633673
GM12878|chr1:117115000-117115400	GM12878|chr1:117115400-117115870
GM12878|chr1:117116114-117116400	GM12878|chr1:117116400-117117000
GM12878|chr1:117116400-117117000	GM12878|chr1:117117000-117117266
GM12878|chr1:117117000-117117266	GM12878|chr1:117117600-117117802
