Pair	Gm12878_Ctcf_E	Gm12878_Dnase1_E	Gm12878_H3k27ac_E	Gm12878_H3k27me3_E	Gm12878_H3k36me3_E	Gm12878_H3k4me2_E	Gm12878_H3k9ac_E	Gm12878_H4k20me1_E	Gm12878_Rad21_E	Gm12878_Tbp_E	Gm12878_Ctcf_P	Gm12878_Dnase1_P	Gm12878_H3k27ac_P	Gm12878_H3k27me3_P	Gm12878_H3k36me3_P	Gm12878_H3k4me2_P	Gm12878_H3k9ac_P	Gm12878_H4k20me1_P	Gm12878_Rad21_P	Gm12878_Tbp_P	Gm12878_Correlation	Gm12878_Exp	Class
chr11_116589711_116591546-chr11_116689767_116707939	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	-0.317471	0.000855	0
chr11_116591546_116598510-chr11_116653885_116657531	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0.276807	0.624125	0
chr11_116620420_116622059-chr11_116640802_116647668	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0.299146	0.374617	0
chr11_116710822_116713199-chr11_116657531_116663531	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	-0.136129	0.624125	0
chr11_116721973_116726985-chr11_116657531_116663531	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0.560328	0.624125	0
chr11_116801557_116806075-chr11_116640802_116647668	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0.536312	0.374617	0
chr11_116913948_116914344-chr11_116657531_116663531	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	-2.60559e-16	0.624125	0
chr11_116914344_116923482-chr11_116734834_116737615	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.139811	0
chr11_131340231_131343508-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7.1e-05	0
chr11_131400484_131401719-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7.1e-05	0
chr11_131461596_131462179-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.0591038	7.1e-05	0
chr11_131553023_131562549-chr11_131448816_131456703	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0.493435	7.1e-05	0
chr11_1756644_1765301-chr11_1869238_1879294	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	-2.1456e-16	2.43623	0
chr11_1794944_1795231-chr11_1869238_1879294	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0.537366	2.43623	0
chr11_2287494_2289141-chr11_1869238_1879294	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0.628046	2.43623	0
chr11_64197420_64206402-chr11_64415880_64426617	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	3.3162e-17	0.017122	0
chr11_64197420_64206402-chr11_64517861_64519906	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.58001e-16	0.003417	0
chr11_64219016_64222688-chr11_64501239_64517861	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	-3.40308e-17	0.086326	0
chr11_64233404_64254719-chr11_64356433_64395036	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0.186631	0.017122	0
chr11_64283665_64292231-chr11_64530985_64535815	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0.242474	1.35285	0
chr11_64283665_64292231-chr11_64535815_64538326	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0.248553	1.35285	0
chr11_64307888_64312302-chr11_64626490_64631647	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	-0.395073	0.477346	0
