IMR90|chr10:101736400-101736800	IMR90|chr10:101737000-101737400
IMR90|chr10:104353000-104353600	IMR90|chr10:104356800-104357000
IMR90|chr10:104356800-104357000	IMR90|chr10:104359400-104360000
IMR90|chr10:104356800-104357000	IMR90|chr10:104360400-104360600
IMR90|chr10:104359400-104360000	IMR90|chr10:104360400-104360600
IMR90|chr10:104359400-104360000	IMR90|chr10:104362400-104362800
IMR90|chr10:104360400-104360600	IMR90|chr10:104362400-104362800
IMR90|chr10:104998400-104998800	IMR90|chr10:104998800-104999000
IMR90|chr10:104998400-104998800	IMR90|chr10:105001200-105001600
IMR90|chr10:104998400-104998800	IMR90|chr10:105001600-105001800
IMR90|chr10:104998800-104999000	IMR90|chr10:105001200-105001600
IMR90|chr10:104998800-104999000	IMR90|chr10:105001600-105001800
IMR90|chr10:105001200-105001600	IMR90|chr10:105001600-105001800
IMR90|chr10:105475400-105476000	IMR90|chr10:105476000-105476200
IMR90|chr10:105480200-105480400	IMR90|chr10:105480600-105480800
IMR90|chr10:11574400-11574600	IMR90|chr10:11574600-11575800
IMR90|chr10:121171600-121172600	IMR90|chr10:121173200-121173800
IMR90|chr10:121177800-121178400	IMR90|chr10:121180400-121180800
IMR90|chr10:121177800-121178400	IMR90|chr10:121181000-121181600
IMR90|chr10:121180400-121180800	IMR90|chr10:121181000-121181600
IMR90|chr10:124264000-124264200	IMR90|chr10:124264400-124264600
IMR90|chr10:13343400-13343600	IMR90|chr10:13343600-13343800
IMR90|chr10:134441000-134441200	IMR90|chr10:134441200-134441600
IMR90|chr10:134441000-134441200	IMR90|chr10:134441600-134441800
IMR90|chr10:134441000-134441200	IMR90|chr10:134441800-134442000
IMR90|chr10:134441200-134441600	IMR90|chr10:134441600-134441800
IMR90|chr10:134441200-134441600	IMR90|chr10:134441800-134442000
IMR90|chr10:134441200-134441600	IMR90|chr10:134444800-134445200
IMR90|chr10:134441600-134441800	IMR90|chr10:134441800-134442000
IMR90|chr10:134441600-134441800	IMR90|chr10:134444800-134445200
IMR90|chr10:134441800-134442000	IMR90|chr10:134444800-134445200
IMR90|chr10:134444800-134445200	IMR90|chr10:134446400-134446600
IMR90|chr10:134444800-134445200	IMR90|chr10:134446800-134447200
IMR90|chr10:134446400-134446600	IMR90|chr10:134446800-134447200
IMR90|chr10:31070800-31071200	IMR90|chr10:31071400-31071800
IMR90|chr10:31070800-31071200	IMR90|chr10:31071800-31072200
IMR90|chr10:31071400-31071800	IMR90|chr10:31071800-31072200
IMR90|chr10:31071800-31072200	IMR90|chr10:31075400-31075600
IMR90|chr10:31075400-31075600	IMR90|chr10:31077200-31078000
IMR90|chr10:31077200-31078000	IMR90|chr10:31080000-31080200
IMR90|chr10:31417400-31417600	IMR90|chr10:31417600-31417800
IMR90|chr10:31417400-31417600	IMR90|chr10:31418200-31419400
IMR90|chr10:31417600-31417800	IMR90|chr10:31418200-31419400
IMR90|chr10:31418200-31419400	IMR90|chr10:31421800-31422000
IMR90|chr10:31418200-31419400	IMR90|chr10:31422200-31422400
IMR90|chr10:31421800-31422000	IMR90|chr10:31422200-31422400
IMR90|chr10:31421800-31422000	IMR90|chr10:31423800-31424400
IMR90|chr10:31421800-31422000	IMR90|chr10:31424400-31425800
IMR90|chr10:31422200-31422400	IMR90|chr10:31423800-31424400
IMR90|chr10:31422200-31422400	IMR90|chr10:31424400-31425800
IMR90|chr10:31423800-31424400	IMR90|chr10:31424400-31425800
IMR90|chr10:31423800-31424400	IMR90|chr10:31426000-31426200
IMR90|chr10:31423800-31424400	IMR90|chr10:31426400-31427000
IMR90|chr10:31424400-31425800	IMR90|chr10:31426000-31426200
IMR90|chr10:31424400-31425800	IMR90|chr10:31426400-31427000
IMR90|chr10:31426000-31426200	IMR90|chr10:31426400-31427000
IMR90|chr10:31426400-31427000	IMR90|chr10:31429800-31430400
IMR90|chr10:31429800-31430400	IMR90|chr10:31430800-31431000
IMR90|chr10:3927800-3928000	IMR90|chr10:3928400-3929400
IMR90|chr10:3927800-3928000	IMR90|chr10:3929800-3930800
IMR90|chr10:3928400-3929400	IMR90|chr10:3929800-3930800
IMR90|chr10:3928400-3929400	IMR90|chr10:3932200-3932600
IMR90|chr10:3929800-3930800	IMR90|chr10:3932200-3932600
IMR90|chr10:3936200-3936400	IMR90|chr10:3936400-3936800
IMR90|chr10:3936200-3936400	IMR90|chr10:3937200-3937400
IMR90|chr10:3936200-3936400	IMR90|chr10:3939800-3940000
IMR90|chr10:3936400-3936800	IMR90|chr10:3937200-3937400
IMR90|chr10:3936400-3936800	IMR90|chr10:3939800-3940000
IMR90|chr10:3937200-3937400	IMR90|chr10:3939800-3940000
IMR90|chr10:4282800-4283800	IMR90|chr10:4284600-4286000
IMR90|chr10:4284600-4286000	IMR90|chr10:4288600-4290000
IMR90|chr10:4288600-4290000	IMR90|chr10:4292400-4292600
IMR90|chr10:4386200-4386800	IMR90|chr10:4387200-4387600
