K562|chr10:59939490-60144599	K562|chr10:59949401-60144599
K562|chr10:71170016-71389929	K562|chr10:71184201-71389929
K562|chr10:71170016-71389929	K562|chr10:71186929-71389929
K562|chr10:71170656-71389929	K562|chr10:71184201-71389929
K562|chr10:71170656-71389929	K562|chr10:71186929-71389929
K562|chr10:71171596-71389929	K562|chr10:71184201-71389929
K562|chr10:71171596-71389929	K562|chr10:71186929-71389929
K562|chr10:71172313-71389929	K562|chr10:71184201-71389929
K562|chr10:71172313-71389929	K562|chr10:71186929-71389929
K562|chr10:94458071-94590126	K562|chr10:94462383-94590126
K562|chr1:110046882-110527057	K562|chr1:110092103-110526502
K562|chr1:110052728-110522799	K562|chr1:110092103-110521956
K562|chr1:110052728-110522799	K562|chr1:110092103-110522799
K562|chr1:110052728-110522799	K562|chr1:110092103-110523170
K562|chr1:110052728-110522799	K562|chr1:110092103-110526502
K562|chr1:110160433-110527057	K562|chr1:110179307-110527057
K562|chr1:110160433-110527057	K562|chr1:110182049-110527057
K562|chr1:110160433-110527057	K562|chr1:110183295-110527057
K562|chr1:110160433-110527057	K562|chr1:110183517-110527057
K562|chr1:110160433-110527057	K562|chr1:110186002-110527057
K562|chr1:110160433-110527057	K562|chr1:110186401-110527057
K562|chr1:110160433-110527057	K562|chr1:110186462-110527057
K562|chr1:110160433-110527057	K562|chr1:110187713-110527057
K562|chr1:110160433-110527057	K562|chr1:110192388-110527057
K562|chr1:110199369-110496854	K562|chr1:110199369-110526502
K562|chr1:110199369-110545292	K562|chr1:110210778-110575582
K562|chr1:110199369-110546199	K562|chr1:110210778-110575582
K562|chr1:110316754-110527057	K562|chr1:110335234-110527057
K562|chr1:110316754-110527057	K562|chr1:110337759-110527057
K562|chr1:112934080-113246973	K562|chr1:112954511-113246973
K562|chr1:113044484-113246973	K562|chr1:113051442-113246973
K562|chr1:113044484-113256817	K562|chr1:113051442-113246973
K562|chr1:113045068-113246973	K562|chr1:113051442-113246973
K562|chr1:113045068-113256817	K562|chr1:113051442-113246973
K562|chr11:14667073-14916293	K562|chr11:14667073-14929139
K562|chr11:14667073-14929139	K562|chr11:14674306-14912372
K562|chr11:46908176-47197241	K562|chr11:46934522-47207280
K562|chr1:150519986-150980261	K562|chr1:150553073-150971397
K562|chr1:150519986-150980261	K562|chr1:150553073-150973573
K562|chr1:150524221-150966999	K562|chr1:150541417-150945004
K562|chr1:150524221-150966999	K562|chr1:150541795-150945004
K562|chr1:150524221-150966999	K562|chr1:150553073-150952399
K562|chr1:150524221-150966999	K562|chr1:150553073-150954451
K562|chr1:150524221-150966999	K562|chr1:150553073-150966526
K562|chr1:150524221-150966999	K562|chr1:150553073-150966999
K562|chr1:150524221-150966999	K562|chr1:150553073-150971397
K562|chr1:150524221-150966999	K562|chr1:150553073-150973573
K562|chr1:153488639-153948520	K562|chr1:153508001-153948520
K562|chr1:153488639-153948520	K562|chr1:153513543-153957803
K562|chr1:153488639-153957803	K562|chr1:153508001-153948520
K562|chr1:153488639-153957803	K562|chr1:153513543-153957803
K562|chr1:153488639-153962943	K562|chr1:153508001-153948520
K562|chr1:153488639-153962943	K562|chr1:153513543-153957803
K562|chr1:153498420-153948520	K562|chr1:153508001-153948520
K562|chr1:153498420-153948520	K562|chr1:153513543-153957803
K562|chr1:153498420-153957803	K562|chr1:153508001-153948520
K562|chr1:153498420-153957803	K562|chr1:153513543-153957803
K562|chr1:153498420-153962943	K562|chr1:153508001-153948520
K562|chr1:153498420-153962943	K562|chr1:153513543-153957803
K562|chr1:153498797-153948520	K562|chr1:153508001-153948520
K562|chr1:153498797-153948520	K562|chr1:153513543-153957803
K562|chr1:153498797-153957803	K562|chr1:153508001-153948520
K562|chr1:153498797-153957803	K562|chr1:153513543-153957803
K562|chr1:153498797-153962943	K562|chr1:153508001-153948520
K562|chr1:153498797-153962943	K562|chr1:153513543-153957803
K562|chr1:153499109-153948520	K562|chr1:153508001-153948520
K562|chr1:153499109-153948520	K562|chr1:153513543-153957803
K562|chr1:153499109-153957803	K562|chr1:153508001-153948520
K562|chr1:153499109-153957803	K562|chr1:153513543-153957803
K562|chr1:153499109-153962943	K562|chr1:153508001-153948520
K562|chr1:153499109-153962943	K562|chr1:153513543-153957803
K562|chr1:153499537-153948520	K562|chr1:153508001-153948520
K562|chr1:153499537-153948520	K562|chr1:153513543-153957803
K562|chr1:153499537-153957803	K562|chr1:153508001-153948520
K562|chr1:153499537-153957803	K562|chr1:153513543-153957803
K562|chr1:153499537-153962943	K562|chr1:153508001-153948520
K562|chr1:153499537-153962943	K562|chr1:153513543-153957803
K562|chr1:153763967-153962943	K562|chr1:153778001-153957803
K562|chr1:153763967-153962943	K562|chr1:153778144-153957803
K562|chr1:156699251-156852350	K562|chr1:156699251-156862399
K562|chr1:156699251-156852350	K562|chr1:156711401-156852350
K562|chr1:156699251-156859794	K562|chr1:156699251-156862399
K562|chr1:156699251-156859794	K562|chr1:156699251-156870342
K562|chr1:161452779-161719333	K562|chr1:161464462-161735674
K562|chr1:161452779-161719333	K562|chr1:161476962-161733573
K562|chr1:161457827-161719333	K562|chr1:161464462-161735674
K562|chr1:161457827-161719333	K562|chr1:161476962-161733573
K562|chr1:161461552-161719333	K562|chr1:161464462-161735674
K562|chr1:161461552-161719333	K562|chr1:161476962-161733573
K562|chr1:161464462-161719333	K562|chr1:161464462-161735674
K562|chr1:161464462-161719333	K562|chr1:161476962-161733573
K562|chr1:161464462-161735674	K562|chr1:161469855-161719333
K562|chr1:161464462-161735674	K562|chr1:161470737-161719333
K562|chr1:161464462-161735674	K562|chr1:161470958-161719333
K562|chr1:161464462-161735674	K562|chr1:161471510-161719333
K562|chr1:161464462-161735674	K562|chr1:161472666-161719333
K562|chr1:161464462-161735674	K562|chr1:161473832-161719333
K562|chr1:161469855-161719333	K562|chr1:161476962-161733573
K562|chr1:161470737-161719333	K562|chr1:161476962-161733573
K562|chr1:161470958-161719333	K562|chr1:161476962-161733573
K562|chr1:161471510-161719333	K562|chr1:161476962-161733573
K562|chr1:161472666-161719333	K562|chr1:161476962-161733573
K562|chr1:161473832-161719333	K562|chr1:161476962-161733573
K562|chr1:161476962-161700043	K562|chr1:161494138-161701181
K562|chr1:161476962-161700043	K562|chr1:161494138-161713878
K562|chr1:161476962-161700043	K562|chr1:161494138-161714636
K562|chr1:161476962-161701181	K562|chr1:161494138-161701181
K562|chr1:161476962-161701181	K562|chr1:161494138-161713878
K562|chr1:161476962-161701181	K562|chr1:161494138-161714636
K562|chr1:161476962-161701199	K562|chr1:161494138-161701181
K562|chr1:161476962-161701199	K562|chr1:161494138-161713878
K562|chr1:161476962-161701199	K562|chr1:161494138-161714636
K562|chr1:161476962-161708408	K562|chr1:161476962-161733573
K562|chr1:161476962-161708408	K562|chr1:161494138-161713878
K562|chr1:161476962-161708408	K562|chr1:161494138-161714636
K562|chr1:161476962-161708847	K562|chr1:161476962-161733573
K562|chr1:161476962-161708847	K562|chr1:161494138-161713878
K562|chr1:161476962-161708847	K562|chr1:161494138-161714636
K562|chr1:161476962-161709810	K562|chr1:161476962-161733573
K562|chr1:161476962-161709810	K562|chr1:161494138-161713878
K562|chr1:161476962-161709810	K562|chr1:161494138-161714636
K562|chr1:161476962-161711209	K562|chr1:161476962-161733573
K562|chr1:161476962-161711209	K562|chr1:161494138-161713878
K562|chr1:161476962-161711209	K562|chr1:161494138-161714636
K562|chr1:161476962-161713878	K562|chr1:161476962-161733573
K562|chr1:161476962-161713878	K562|chr1:161494138-161713878
K562|chr1:161476962-161713878	K562|chr1:161494138-161714636
K562|chr1:161476962-161713878	K562|chr1:161498702-161735674
K562|chr1:161476962-161714636	K562|chr1:161476962-161733573
K562|chr1:161476962-161714636	K562|chr1:161494138-161713878
K562|chr1:161476962-161714636	K562|chr1:161494138-161714636
K562|chr1:161476962-161714636	K562|chr1:161498702-161735674
K562|chr11:61561775-61716604	K562|chr11:61564697-61732092
K562|chr1:16381829-16677562	K562|chr1:16400082-16677562
K562|chr1:16381829-16677562	K562|chr1:16400659-16677562
K562|chr1:16381829-16677562	K562|chr1:16402801-16677562
K562|chr1:16381829-16677562	K562|chr1:16402923-16677562
K562|chr1:16381829-16677562	K562|chr1:16405851-16677562
K562|chr1:16381829-16677562	K562|chr1:16407440-16677562
K562|chr1:16385460-16677562	K562|chr1:16400082-16677562
K562|chr1:16385460-16677562	K562|chr1:16400659-16677562
K562|chr1:16385460-16677562	K562|chr1:16402801-16677562
K562|chr1:16385460-16677562	K562|chr1:16402923-16677562
K562|chr1:16385460-16677562	K562|chr1:16405851-16677562
K562|chr1:16385460-16677562	K562|chr1:16407440-16677562
K562|chr11:69257601-69455834	K562|chr11:69260426-69455834
K562|chr11:69257601-69455834	K562|chr11:69263601-69455834
K562|chr11:69257601-69455834	K562|chr11:69265245-69455834
K562|chr11:69257601-69455834	K562|chr11:69265488-69455834
K562|chr1:1712148-1828623	K562|chr1:1712148-1837563
K562|chr1:1712148-1828623	K562|chr1:1712148-1838021
K562|chr1:174735677-174967665	K562|chr1:174758521-174967665
K562|chr1:174736223-174967665	K562|chr1:174758521-174967665
K562|chr1:182262601-182357520	K562|chr1:182271353-182357520
K562|chr11:9780740-10344451	K562|chr11:9806754-10314914
K562|chr1:206786311-207095532	K562|chr1:206809851-207115022
K562|chr1:206786311-207098199	K562|chr1:206809851-207115022
K562|chr1:206786311-207098743	K562|chr1:206809851-207115022
K562|chr12:113631801-113859799	K562|chr12:113653064-113859799
K562|chr12:113632201-113859799	K562|chr12:113653064-113859799
K562|chr12:113632321-113859799	K562|chr12:113653064-113859799
K562|chr1:211495335-211847941	K562|chr1:211501142-211821682
K562|chr1:211495335-211847941	K562|chr1:211501142-211828391
K562|chr1:211501142-211792511	K562|chr1:211501142-211821682
K562|chr1:224294635-224622283	K562|chr1:224303025-224644599
K562|chr1:224294635-224622283	K562|chr1:224303025-224646770
K562|chr1:224294635-224622283	K562|chr1:224303025-224647746
K562|chr1:224300867-224516900	K562|chr1:224303025-224520950
K562|chr1:224300867-224622283	K562|chr1:224303025-224644599
K562|chr1:224300867-224622283	K562|chr1:224303025-224646770
K562|chr1:224300867-224622283	K562|chr1:224303025-224647746
K562|chr1:241683655-241996940	K562|chr1:241683655-242009677
K562|chr1:241683655-241996940	K562|chr1:241690918-242010599
K562|chr12:42536143-42719269	K562|chr12:42539295-42732199
K562|chr12:42539295-42732199	K562|chr12:42539921-42719269
K562|chr1:245317254-246669592	K562|chr1:245319790-246727773
K562|chr1:245318515-246669592	K562|chr1:245319790-246727773
K562|chr1:245319790-246669592	K562|chr1:245319790-246727773
K562|chr1:245319790-246727773	K562|chr1:245320221-246669592
K562|chr12:51443535-51723623	K562|chr12:51443535-51730499
K562|chr12:51443535-51723623	K562|chr12:51443535-51734976
K562|chr12:51443535-51723623	K562|chr12:51443535-51739534
K562|chr12:53299668-53342385	K562|chr12:53302331-53342385
K562|chr12:53443001-53688914	K562|chr12:53460221-53688914
K562|chr12:53443801-53688914	K562|chr12:53460221-53688914
K562|chr12:53448912-53688914	K562|chr12:53460221-53688914
K562|chr12:54390362-54760981	K562|chr12:54412784-54753799
K562|chr12:54390362-54761377	K562|chr12:54412784-54753799
K562|chr12:54390362-54763920	K562|chr12:54412784-54753799
K562|chr12:56212634-56319199	K562|chr12:56212634-56322799
K562|chr12:56212634-56319199	K562|chr12:56212634-56324269
K562|chr12:56584739-56831189	K562|chr12:56584739-56853635
K562|chr12:56584739-56831189	K562|chr12:56584739-56855092
K562|chr12:56584739-56831189	K562|chr12:56584739-56857996
K562|chr12:56584739-56853635	K562|chr12:56599117-56861857
K562|chr12:56584739-56855092	K562|chr12:56599117-56861857
K562|chr12:56584739-56857996	K562|chr12:56599117-56861857
K562|chr1:25696201-26145208	K562|chr1:25737001-26145208
K562|chr1:25696201-26145208	K562|chr1:25737050-26145208
K562|chr1:25696201-26145208	K562|chr1:25738798-26145208
