IMR90|chr10:104678401-105001199	IMR90|chr10:104678401-105001599
IMR90|chr10:105476001-105615199	IMR90|chr10:105476201-105615199
IMR90|chr10:124221401-124263999	IMR90|chr10:124221401-124264399
IMR90|chr10:13203601-13343399	IMR90|chr10:13203601-13343599
IMR90|chr10:134351601-134440999	IMR90|chr10:134351601-134441199
IMR90|chr10:134351601-134440999	IMR90|chr10:134351601-134441599
IMR90|chr10:134351601-134440999	IMR90|chr10:134351601-134441799
IMR90|chr10:134351601-134441199	IMR90|chr10:134351601-134441599
IMR90|chr10:134351601-134441199	IMR90|chr10:134351601-134441799
IMR90|chr10:134351601-134441599	IMR90|chr10:134351601-134441799
IMR90|chr10:134351601-134446399	IMR90|chr10:134351601-134446799
IMR90|chr10:31071201-31320799	IMR90|chr10:31071801-31320799
IMR90|chr10:31071201-31320799	IMR90|chr10:31072201-31320799
IMR90|chr10:31071801-31320799	IMR90|chr10:31072201-31320799
IMR90|chr10:31075601-31320799	IMR90|chr10:31078001-31320799
IMR90|chr10:31321001-31421799	IMR90|chr10:31321001-31422199
IMR90|chr10:31321001-31423799	IMR90|chr10:31321001-31424399
IMR90|chr10:31321001-31425999	IMR90|chr10:31321001-31426399
IMR90|chr10:3827801-3936199	IMR90|chr10:3827801-3936399
IMR90|chr10:3827801-3936199	IMR90|chr10:3827801-3937199
IMR90|chr10:3827801-3936399	IMR90|chr10:3827801-3937199
IMR90|chr10:3827801-4284599	IMR90|chr10:3827801-4288599
IMR90|chr10:3827801-4386199	IMR90|chr10:3827801-4387199
IMR90|chr10:65281201-65387199	IMR90|chr10:65281201-65387999
IMR90|chr10:72972801-73028199	IMR90|chr10:72972801-73028399
IMR90|chr10:74452001-74591399	IMR90|chr10:74452001-74591799
IMR90|chr10:77162201-78062599	IMR90|chr10:77162201-78066999
IMR90|chr10:89307601-89419199	IMR90|chr10:89308001-89419199
IMR90|chr10:89307601-89419199	IMR90|chr10:89308201-89419199
IMR90|chr10:89307601-89419199	IMR90|chr10:89308401-89419199
IMR90|chr10:89308001-89419199	IMR90|chr10:89308201-89419199
IMR90|chr10:89308001-89419199	IMR90|chr10:89308401-89419199
IMR90|chr10:89308201-89419199	IMR90|chr10:89308401-89419199
IMR90|chr1:103574801-104067999	IMR90|chr1:103575001-104067999
IMR90|chr1:103574801-104067999	IMR90|chr1:103575201-104067999
IMR90|chr1:103575001-104067999	IMR90|chr1:103575201-104067999
IMR90|chr1:109806401-109940399	IMR90|chr1:109806601-109940399
IMR90|chr1:110186201-110527199	IMR90|chr1:110186601-110527199
IMR90|chr1:110186201-110527199	IMR90|chr1:110186801-110527199
IMR90|chr1:110186601-110527199	IMR90|chr1:110186801-110527199
IMR90|chr1:110882001-110933999	IMR90|chr1:110882001-110934399
IMR90|chr11:116658801-117091599	IMR90|chr11:116658801-117092999
IMR90|chr11:120382601-120677799	IMR90|chr11:120382601-120677999
IMR90|chr11:120382601-120677799	IMR90|chr11:120382601-120678199
IMR90|chr11:120382601-120677799	IMR90|chr11:120382601-120678599
IMR90|chr11:120382601-120677999	IMR90|chr11:120382601-120678199
IMR90|chr11:120382601-120677999	IMR90|chr11:120382601-120678599
IMR90|chr11:120382601-120678199	IMR90|chr11:120382601-120678599
IMR90|chr11:133911001-134094399	IMR90|chr11:133911601-134094399
IMR90|chr11:133917201-134094399	IMR90|chr11:133917401-134094399
IMR90|chr11:133917201-134094399	IMR90|chr11:133918201-134094399
IMR90|chr11:133917401-134094399	IMR90|chr11:133918201-134094399
IMR90|chr11:16811001-17099199	IMR90|chr11:16813801-17099199
IMR90|chr11:35576401-35639599	IMR90|chr11:35576801-35639599
IMR90|chr1:153480201-153606399	IMR90|chr1:153480601-153606399
IMR90|chr1:153480201-153606399	IMR90|chr1:153480801-153606399
IMR90|chr1:153480601-153606399	IMR90|chr1:153480801-153606399
IMR90|chr1:155225401-155568399	IMR90|chr1:155225401-155568999
IMR90|chr11:59340201-59436399	IMR90|chr11:59340801-59436399
IMR90|chr11:59340201-59436399	IMR90|chr11:59341001-59436399
IMR90|chr11:59340801-59436399	IMR90|chr11:59341001-59436399
IMR90|chr11:59341001-59436399	IMR90|chr11:59341801-59436399
IMR90|chr1:16400201-16513999	IMR90|chr1:16400201-16514199
IMR90|chr1:16400201-16690999	IMR90|chr1:16400201-16692999
IMR90|chr11:65042401-65082199	IMR90|chr11:65042601-65082199
IMR90|chr11:65042601-65082199	IMR90|chr11:65042801-65082199
IMR90|chr11:67034201-67151999	IMR90|chr11:67034201-67152199
IMR90|chr11:67034201-67151999	IMR90|chr11:67034201-67152799
IMR90|chr11:67034201-67152199	IMR90|chr11:67034201-67152799
IMR90|chr1:169088401-169336999	IMR90|chr1:169089001-169336999
IMR90|chr1:169088401-169336999	IMR90|chr1:169089801-169336999
IMR90|chr1:169088401-169336999	IMR90|chr1:169090001-169336999
IMR90|chr1:169089001-169336999	IMR90|chr1:169089801-169336999
IMR90|chr1:169089001-169336999	IMR90|chr1:169090001-169336999
IMR90|chr1:169089801-169336999	IMR90|chr1:169090001-169336999
IMR90|chr11:71814601-72141999	IMR90|chr11:71814601-72142199
IMR90|chr11:71814601-72142199	IMR90|chr11:71815201-72145399
IMR90|chr1:173400201-173793599	IMR90|chr1:173401001-173793599
IMR90|chr11:77850801-78273599	IMR90|chr11:77850801-78275199
IMR90|chr11:77850801-78275199	IMR90|chr11:77850801-78278199
IMR90|chr1:180485601-181057599	IMR90|chr1:180486401-181057599
IMR90|chr1:182992601-183187199	IMR90|chr1:182992601-183187999
IMR90|chr1:206786001-207080199	IMR90|chr1:206786001-207080399
IMR90|chr1:206786001-207080199	IMR90|chr1:206786001-207080599
IMR90|chr1:206786001-207080399	IMR90|chr1:206786001-207080599
IMR90|chr1:20902201-20959799	IMR90|chr1:20902401-20959799
IMR90|chr12:106690201-107487199	IMR90|chr12:106695401-107487199
IMR90|chr12:106695401-107487199	IMR90|chr12:106698201-107487199
IMR90|chr12:108956401-109195199	IMR90|chr12:108956401-109196599
IMR90|chr12:108956401-109196599	IMR90|chr12:108956401-109198799
IMR90|chr1:221651801-221915399	IMR90|chr1:221652001-221915399
IMR90|chr1:221915801-222167799	IMR90|chr1:221915801-222168599
IMR90|chr1:221915801-222627799	IMR90|chr1:221915801-222629399
IMR90|chr12:25586401-26110799	IMR90|chr12:25587001-26110799
IMR90|chr12:25586401-26110799	IMR90|chr12:25587401-26110799
IMR90|chr12:25586401-26110799	IMR90|chr12:25587801-26110799
IMR90|chr12:25587001-26110799	IMR90|chr12:25587401-26110799
IMR90|chr12:25587001-26110799	IMR90|chr12:25587801-26110799
IMR90|chr12:25587401-26110799	IMR90|chr12:25587801-26110799
IMR90|chr1:2345601-2457599	IMR90|chr1:2346401-2457599
IMR90|chr1:240190801-240775399	IMR90|chr1:240193601-240775399
IMR90|chr1:240190801-240775399	IMR90|chr1:240194201-240775399
IMR90|chr1:240190801-240775399	IMR90|chr1:240195001-240775399
IMR90|chr1:240193601-240775399	IMR90|chr1:240194201-240775399
IMR90|chr1:240193601-240775399	IMR90|chr1:240195001-240775399
IMR90|chr1:240194201-240775399	IMR90|chr1:240195001-240775399
IMR90|chr1:240775601-240854999	IMR90|chr1:240775601-240855599
IMR90|chr12:54616201-54673599	IMR90|chr12:54616401-54673599
IMR90|chr12:5541401-6152799	IMR90|chr12:5541401-6153399
IMR90|chr12:5541401-6152799	IMR90|chr12:5541401-6155999
IMR90|chr12:5541401-6152799	IMR90|chr12:5541401-6156999
IMR90|chr12:5541401-6153399	IMR90|chr12:5541401-6155999
IMR90|chr12:5541401-6153399	IMR90|chr12:5541401-6156999
IMR90|chr12:5541401-6155999	IMR90|chr12:5541401-6156999
IMR90|chr12:56137201-56422399	IMR90|chr12:56137201-56423599
IMR90|chr12:56512201-56616599	IMR90|chr12:56512201-56616799
IMR90|chr12:56513801-56615599	IMR90|chr12:56514001-56615599
IMR90|chr12:6171001-6579799	IMR90|chr12:6171401-6579799
IMR90|chr12:6171001-6579799	IMR90|chr12:6172401-6579799
IMR90|chr12:6171401-6579799	IMR90|chr12:6172401-6579799
IMR90|chr12:6171401-6579799	IMR90|chr12:6175401-6579799
IMR90|chr12:6172401-6579799	IMR90|chr12:6175401-6579799
IMR90|chr12:6175401-6579799	IMR90|chr12:6178201-6579799
IMR90|chr12:6175401-6579799	IMR90|chr12:6178401-6579799
IMR90|chr12:6175401-6579799	IMR90|chr12:6178601-6579799
IMR90|chr12:6175401-6579799	IMR90|chr12:6179201-6579799
IMR90|chr12:6178201-6579799	IMR90|chr12:6178401-6579799
IMR90|chr12:6178201-6579799	IMR90|chr12:6178601-6579799
