HeLa-S3|chr10:17157400-17157800	HeLa-S3|chr10:17157800-17158067
HeLa-S3|chr10:17157800-17158067	HeLa-S3|chr10:17158413-17158529
HeLa-S3|chr10:33291089-33291200	HeLa-S3|chr10:33291200-33291317
HeLa-S3|chr10:33293204-33293396	HeLa-S3|chr10:33293496-33293800
HeLa-S3|chr10:71185691-71185919	HeLa-S3|chr10:71186117-71186400
HeLa-S3|chr10:72123177-72123200	HeLa-S3|chr10:72123200-72123800
HeLa-S3|chr10:73487200-73487600	HeLa-S3|chr10:73487600-73488200
HeLa-S3|chr10:73487600-73488200	HeLa-S3|chr10:73488200-73488573
HeLa-S3|chr10:88841969-88842000	HeLa-S3|chr10:88842000-88842400
HeLa-S3|chr10:88843800-88844065	HeLa-S3|chr10:88844157-88844398
HeLa-S3|chr10:93149678-93150000	HeLa-S3|chr10:93150000-93150159
HeLa-S3|chr10:93150000-93150159	HeLa-S3|chr10:93150359-93150461
HeLa-S3|chr1:109818800-109818858	HeLa-S3|chr1:109819261-109819361
HeLa-S3|chr1:109819261-109819361	HeLa-S3|chr1:109819453-109819586
HeLa-S3|chr1:109819789-109820301	HeLa-S3|chr1:109820438-109820534
HeLa-S3|chr11:100701813-100702024	HeLa-S3|chr11:100702199-100702379
HeLa-S3|chr11:100712400-100712800	HeLa-S3|chr11:100712800-100713017
HeLa-S3|chr11:100719777-100719875	HeLa-S3|chr11:100719970-100720171
HeLa-S3|chr1:110075861-110076000	HeLa-S3|chr1:110076000-110076058
HeLa-S3|chr1:110178098-110178332	HeLa-S3|chr1:110178546-110178600
HeLa-S3|chr1:110178546-110178600	HeLa-S3|chr1:110178600-110179000
HeLa-S3|chr1:110185736-110186016	HeLa-S3|chr1:110186324-110186600
HeLa-S3|chr1:110186324-110186600	HeLa-S3|chr1:110186600-110186659
HeLa-S3|chr11:10331200-10331600	HeLa-S3|chr11:10331600-10331761
HeLa-S3|chr11:10331600-10331761	HeLa-S3|chr11:10331922-10332277
HeLa-S3|chr11:10344967-10345000	HeLa-S3|chr11:10345000-10345595
HeLa-S3|chr11:10351262-10351600	HeLa-S3|chr11:10351600-10351942
HeLa-S3|chr11:10351600-10351942	HeLa-S3|chr11:10352034-10352369
HeLa-S3|chr1:110526404-110526600	HeLa-S3|chr1:110526600-110526800
HeLa-S3|chr1:110544029-110544200	HeLa-S3|chr1:110544200-110544217
HeLa-S3|chr1:110544878-110545000	HeLa-S3|chr1:110545000-110545044
HeLa-S3|chr11:118759400-118759671	HeLa-S3|chr11:118759950-118760200
HeLa-S3|chr11:120302601-120303000	HeLa-S3|chr11:120303000-120303159
HeLa-S3|chr1:112935741-112935833	HeLa-S3|chr1:112936194-112936200
HeLa-S3|chr1:112945439-112945656	HeLa-S3|chr1:112945840-112946161
HeLa-S3|chr11:46330437-46330600	HeLa-S3|chr11:46330600-46330782
HeLa-S3|chr11:46331089-46331600	HeLa-S3|chr11:46331662-46331854
HeLa-S3|chr1:146638881-146639400	HeLa-S3|chr1:146639400-146639600
HeLa-S3|chr1:146639400-146639600	HeLa-S3|chr1:146639600-146639632
