HeLa-S3|chr10:102973390-103542659	HeLa-S3|chr10:102974454-103542659
HeLa-S3|chr10:112174401-112255522	HeLa-S3|chr10:112178354-112255522
HeLa-S3|chr10:112174401-112255522	HeLa-S3|chr10:112182056-112255522
HeLa-S3|chr10:112178354-112255522	HeLa-S3|chr10:112182056-112255522
HeLa-S3|chr10:17151734-17270078	HeLa-S3|chr10:17155730-17270078
HeLa-S3|chr10:17151734-17270078	HeLa-S3|chr10:17157801-17270078
HeLa-S3|chr10:17151734-17270078	HeLa-S3|chr10:17158068-17270078
HeLa-S3|chr10:17151734-17270078	HeLa-S3|chr10:17158530-17270078
HeLa-S3|chr10:17155730-17270078	HeLa-S3|chr10:17157801-17270078
HeLa-S3|chr10:17155730-17270078	HeLa-S3|chr10:17158068-17270078
HeLa-S3|chr10:17155730-17270078	HeLa-S3|chr10:17158530-17270078
HeLa-S3|chr10:17157801-17270078	HeLa-S3|chr10:17158068-17270078
HeLa-S3|chr10:17157801-17270078	HeLa-S3|chr10:17158530-17270078
HeLa-S3|chr10:17158068-17270078	HeLa-S3|chr10:17158530-17270078
HeLa-S3|chr10:22292915-22610599	HeLa-S3|chr10:22292915-22610961
HeLa-S3|chr10:22292915-22610599	HeLa-S3|chr10:22293289-22604843
HeLa-S3|chr10:22292915-22610961	HeLa-S3|chr10:22293289-22604843
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33291199
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33292289
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33293203
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33293495
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33295199
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33291088	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33292289
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33293203
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33293495
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33295199
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33291199	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33248312-33293203
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33248312-33293495
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33248312-33295199
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33292289	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33293203	HeLa-S3|chr10:33248312-33293495
HeLa-S3|chr10:33248312-33293203	HeLa-S3|chr10:33248312-33295199
HeLa-S3|chr10:33248312-33293203	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33293203	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33293203	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33293495	HeLa-S3|chr10:33248312-33295199
HeLa-S3|chr10:33248312-33293495	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33293495	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33293495	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33295199	HeLa-S3|chr10:33248312-33297537
HeLa-S3|chr10:33248312-33295199	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33295199	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33297537	HeLa-S3|chr10:33248312-33297972
HeLa-S3|chr10:33248312-33297537	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:33248312-33297972	HeLa-S3|chr10:33249431-33294188
HeLa-S3|chr10:54074783-54246553	HeLa-S3|chr10:54074783-54247414
HeLa-S3|chr10:54074783-54246553	HeLa-S3|chr10:54074783-54248470
HeLa-S3|chr10:54074783-54247414	HeLa-S3|chr10:54074783-54248470
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63507201-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63507950-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63508753-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63510772-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63512825-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63505307-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63507950-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63508753-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63510772-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63512825-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63507201-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63508753-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63510772-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63512825-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63507950-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63510772-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63512825-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63508753-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63512825-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63510772-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63513520-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63512825-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63514708-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63513520-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63515300-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63514708-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63516549-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63515300-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63516549-63660889	HeLa-S3|chr10:63518609-63660889
HeLa-S3|chr10:63516549-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63516549-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63516549-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63516549-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63518609-63660889	HeLa-S3|chr10:63519875-63660889
HeLa-S3|chr10:63518609-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63518609-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63518609-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63519875-63660889	HeLa-S3|chr10:63522708-63660889
HeLa-S3|chr10:63519875-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63519875-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63522708-63660889	HeLa-S3|chr10:63523820-63660889
HeLa-S3|chr10:63522708-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:63523820-63660889	HeLa-S3|chr10:63524549-63660889
HeLa-S3|chr10:71185920-71389985	HeLa-S3|chr10:71186401-71389985
HeLa-S3|chr10:71993758-72117524	HeLa-S3|chr10:71993758-72123176
HeLa-S3|chr10:71993758-72117524	HeLa-S3|chr10:71993758-72123199
HeLa-S3|chr10:71993758-72117524	HeLa-S3|chr10:71993758-72124600
HeLa-S3|chr10:71993758-72123176	HeLa-S3|chr10:71993758-72123199
HeLa-S3|chr10:71993758-72123176	HeLa-S3|chr10:71993758-72124600
HeLa-S3|chr10:71993758-72123199	HeLa-S3|chr10:71993758-72124600
HeLa-S3|chr10:73487601-73533105	HeLa-S3|chr10:73488201-73533105
HeLa-S3|chr10:73487601-73533105	HeLa-S3|chr10:73488574-73533105
HeLa-S3|chr10:73487601-73533105	HeLa-S3|chr10:73489401-73533105
HeLa-S3|chr10:73487601-73533105	HeLa-S3|chr10:73489522-73533105
HeLa-S3|chr10:73488201-73533105	HeLa-S3|chr10:73488574-73533105
HeLa-S3|chr10:73488201-73533105	HeLa-S3|chr10:73489401-73533105
HeLa-S3|chr10:73488201-73533105	HeLa-S3|chr10:73489522-73533105
